AIU,AFRICA INTERNATIONAL UNIVERSITY
TMUC,TOM MBOYA UNIVERSITY COLLEGE
TOMBOYA LC,TOMBOYA LABOUR COLLEGE
TTUC,TAITA TAVETA UNIVERSITY COLLEGE
TUC,TANGAZA UNIVERSITY COLLEGE
TUK,TECHNICAL UNIVERSITY OF KENYA
TUM,TECHNICAL UNIVERSITY OF MOMBASA
UMMA,UMMA UNIVERSITY
UOE,UNIVERSITY OF ELDORET
UOK,UNIVERSITY OF KABIANGA
UON,UNIVERSITY OF NAIROBI
USIU,UNITED STATES INTERNATIONAL UNIVERSITY
UUC,UZIMA UNIVERSITY COLLEGE
WOTE TTI,WOTE TECHNICAL TRAINING INSTITUTE
ZETECH,ZETECH UNIVERSITY
