code,post_office
30120,Kimoning
20320,Kinamba
1031,Kindaruma
80116,Kipevu
20202,Kipkelion
30203,Kipsaina
20133,Kiptangwanyi
20131,Kirengeti
50319,Jebrok
30401,Kabartonjo
20114,Kabazi
30130,Kabiemit
20412,Kaboson
40314,Kadel
10306,Kagio
223,Kagwe
10201,Kahuro
30310,Kaiboi
1007,Kairi
50100,Kakamega
80209,Kakoneni
1014,Kakuzi
90126,Kalawa
80105,Kaloleni
20134,Kamara
10226,Kambiti
30406,Kampi Ya Samaki
90403,Kamuwongo
40315,Kanam
50215,Kanduyi
625,Kangemi
90115,Kangundo
20309,Kanyaagia
1011,Kanyoni
30304,Kapcheno
30311,Kapchorwa
50232,Kapkateny
30119,Kapkenda
20206,Kapkugerwet
30208,Kapsara
30705,Kapsowar
30114,Kaptagat
30701,Kaptarakwa
30711,Kapteren
233,Karatu
10121,Karima
40505,Karota
219,Karuri
80307,Kasigau
90105,Kathiani
30508,Katilu
90217,Katutu
10219,Kaweru
20501,Keekorok
40413,Kehancha
203,Kenyatta International Confere
20200,Kericho
906,Kerwa
60108,Kevote
50135,Khwisero
900,Kiambu
60110,Kiamuringa
10123,Kiandu
10301,Kianyaga
40119,Kibigori
40120,Kibos
10102,Kiganjo
30110,Kihuga Square
90125,Kikima
40700,Kilgoris
80107,Kilindini
215,Kimana
50204,Kimilili
20225,Kimulot
80405,Kinango
10126,Kinunga
30103,Kipkabus
30117,Kiplegetet
30118,Kiptabach
20213,Kiptere
10204,Kiriaini
60116,Kirie
60113,Kiritiri
20130,Kirobon
90204,Kisasi
40100,Kisumu
60114,Kithimu
80316,Kitivo
90218,Kiusyani
30305,Kobujoi
20136,Koige
40317,Kojwang
40102,Kombewa
212,Konza
40104,Koru
10304,Kutus
90215,Kwavonza
60601,Laare
40122,Ladhri Awasi
20112,Lanet
603,Lavington
30115,Leseru
80110,Likoni
20210,Litein
60501,Loiyangalani
30504,Lokitaung
40128,Lolwe
20146,Longonot
50307,Luanda
50118,Lubao
50218,Lugulu
80408,Lukore
50242,Lumakanda
50120,Lurambi
50320,Lusiola
20147,Maai Mahiu
1002,Madaraka
80207,Madina
40624,Mageta
60403,Magumoni
40508,Magwagwa
20314,Mairo Inya
20418,Makimeny
80315,Maktau
50133,Makunga
1020,Makuyu
50103,Malava
50123,Malinya
80301,Manyani
50126,Manyulia
10205,Maragua
80113,Mariakani
60215,Marimanti
20322,Marmanet
50324,Masana
1103,Mashuru
90141,Masinga
50422,Matayos
611,Mathare Valley
90140,Matiliku
80406,Matuga
20111,Mau Narok
50124,Mautuma
50224,Mayanja
50236,Mbakalo
90214,Mbitini
90127,Mbumbuni
20104,Menengai
40319,Mfangano
60604,Miathene
20301,Miharati
60607,Mikinduri
20124,Mirangine
40626,Misori
20605,Kirimun
50313,Kiritu
1018,Kiruara
206,Kiserian
30200,Kitale
90144,Kithyoko
90200,Kitui
90116,Kivaani
50420,Kocholya
30314,Koilot
90108,Kola
40103,Kondele
40644,Kopolo
50117,Koyonzo
80403,Kwale
90209,Kyeni
30126,Laboret
80500,Lamu
30112,Langas
40134,Lela
20310,Leshau
217,Limuru
30500,Lodwar
30505,Lokichar
30506,Lokori
20203,Londiani
30507,Lorugum
50219,Luandanyi
50108,Lugari
40623,Luhano
50132,Lukume
80402,Lunga Lunga
905,Lusingeti
50121,Lutaso
50235,Mabusi
40641,Madeya
50321,Magada
50325,Mago
40307,Magunga
50322,Mahanga
20145,Maji Mazuri
90138,Makindu
90300,Makueni
80112,Makupa
50122,Malaha
50221,Maliki
70300,Mandera
60101,Manyatta
10221,Maragi
20600,Maralal
30403,Marigat
40318,Marinde
60500,Marsabit
40105,Maseno
90101,Masii
1009,Mataara
50222,Mateka
211,Matheini
90210,Matinyani
30205,Matunda
20122,Mau Summit
90304,Mavindini
80114,Mazeras
231,Mbari Ya Njiku
90110,Mbiuni
90142,Mbusyani
20419,Merigi
80313,Mgambonyi
1029,Migioini
10128,Mihuti
60208,Mikumbuni
40320,Mirogi
90104,Mitaboni
20135,Kirisoi
1017,Kiriua
20144,Kisanana
40200,Kisii
90124,Kithimani
90303,Kitise
1019,Kiunyu
90111,Kivunga
40316,Kodula
20417,Koiwa
50217,Kolanya
40121,Kondik
40639,Koracha
20224,Kurabei
30210,Kwanza
90401,Kyuso
40144,Labuiywo
10139,Lamuria
509,Langata
20506,Lengita
30302,Lessos
90109,Lita
209,Loitokitok
30503,Lokichoggio
40701,Lolgorian
20402,Longisa
604,Lower Kabete
50240,Luandeti
40622,Lugingo
50421,Lukolis
50230,Lukusi
50119,Lunza
905,Lusingeti
50220,Lwakhakha
90100,Machakos
40613,Madiany
205,Magadi
40507,Magombo
60407,Magutuni
20148,Maiella
20228,Makimeny
510,Makongeni
20149,Makumbi
20141,Makutano
50209,Malakisi
80200,Malindi
40509,Manga
40625,Manyuanda
50300,Maragoli
40214,Marani
60408,Marima
40408,Mariwa
10127,Marua
80312,Mashini
40215,Masimba
221,Matathia
50136,Matete
90406,Mathuki
50223,Matokho
90119,Matuu
60600,Maua
40310,Mawego
503,Mbagathi
40305,Mbita
616,Mbono Road
504,Mchumbi Road
60200,Meru
80306,Mgange
90402,Migwani
40225,Mikayi
20123,Milton Siding
50207,Misikhu
60204,Mitunguu
90112,Miu
20312,Mochongoi
20105,Mogotio
30104,Moi Ben
40510,Mokomoni
80100,Mombasa
30307,Mosoriot
50323,Mpaka
90128,Mtito Andei
80109,Mtwapa
70102,Muddo Gashe
1021,Mugumoini
40107,Muhoroni
1022,Mukarara
